o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:subject,dcterms:contributor,dcterms:date,dcterms:type,dcterms:format,dcterms:identifier,dcterms:source,dcterms:language,dcterms:rights,dcterms:tableOfContents,dcterms:abstract,dcterms:medium,dcterms:isReferencedBy,dcterms:references,dcterms:mediator,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:accrualMethod,index:geognameTerritory,index:geognameCountry,index:geognameCity,index:persname,index:namePeriodical,index:genreformType,index:subjectKeywords
27,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/27,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,426,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/b8c6fb54ee3be4131ba5e8982c9eb50faebc3065.jpeg,"Photographie signée de Jules Berry",,,,"[entre 1910 et 1916]",Pièce,"Noir et blanc. 14,5 x 9,2 cm.","https://www.nakala.fr/10.34847/nkl.3c17i58g 10.34847/nkl.3c17i58g",,,,,"Photographe : G.D.E.","Signes d'usage et d'usure.",,,,,"1 EN 23",,,,,"Berry, Jules",,"Document figuré","Photographie d'artiste"
28,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/28,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,427,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/4de2bde54ddec9a295baf6e4d84deb9e72595307.jpeg,"Dessin du visage d'Émile Nélès dédicacé et signé par Jules Berry",,,,"[années 1920]",Pièce,,"https://www.nakala.fr/10.34847/nkl.abeak93t 10.34847/nkl.abeak93t",,,,,,"Signes d'usage et d'usure.",,,,,"1 EN 24",,,,,"Nélès, Émile (1876-1942)",,"Document figuré","Dessin d'artiste"
29,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/29,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,428,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/c22b9be9691c29ce1fd1d9a66fd682912af715f3.jpeg,"Portrait avec signature autographe d'Elsa Dolcey",,,,s.d.,Pièce,"Carte postale photographique en noir et blanc. 13,5 x 8,5 cm.","https://www.nakala.fr/10.34847/nkl.d14b621a 10.34847/nkl.d14b621a",,,,,"Photographe : S. Polat.","Signes d'usage et d'usure.",,,,,"1 EN 25",,,,,"Dolcey, Elsa",,"Document figuré","Photographie d'artiste"
30,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/30,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,429,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/117c9573c0f36ea467953a8830cd8a0d95e9a5e9.jpeg,"Portrait dédicacé avec signature autographe d'André Brulé",,,,[1910],Pièce,"Photographie en noir et blanc. 13,7 x 8,9 cm.","https://www.nakala.fr/10.34847/nkl.ff39o18g 10.34847/nkl.ff39o18g",,,,,"Photographe : G.D.E.","Signes d'usage et d'usure.",,,,,"1 EN 26",,,,,"Brulé, André",,"Document figuré","Photographie d'artiste"
31,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/31,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,430,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/3ecd81b31735205110b7838d5f259e54b584c4a1.jpeg,"Photographie Beulemans marie sa fille avec signature autographe d'Émile Nélès",,,,"[vers 1920]",Pièce,"Noir et blanc. 13,5 x 8,5 cm.","https://www.nakala.fr/10.34847/nkl.eaf4s125 10.34847/nkl.eaf4s125",,,,,"Photographe : Dupont Emèra.","Signes d'usage et d'usure.",,,,,"1 EN 27",,,,,,,"Document figuré","Photographie d'artiste"
32,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/32,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,431,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/bd122fe6f44a55d39858732aac294060533f3abe.jpeg,"Photographie d'Émile Nélès, de Darmain et de Hubert Daix dans les Dégourdis de la 11 d'André Mouëzy-Éon et Charles Daveillans (avec signature autographe d'Émile Nélès).",,,,"[vers 1920]",Pièce,"Noir et blanc. 13,5 x 8,5 cm.","https://www.nakala.fr/10.34847/nkl.43f07220 10.34847/nkl.43f07220",,,,,"Photographe : S. Polat.","Signes d'usage et d'usure.",,"MILLER, Victorine, L'Oncle Curé, Comédie, France Marchal-Ninosque (éd.), Besançon, PUFC, 2023, p. 24.",,,"1 EN 28",,,,,,,"Document figuré","Photographie d'artiste"
33,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/33,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"432 | 433 | 434 | 435 | 436 | 437 | 438","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/3823f22f628b935a2c6bf2248f785c5961deb151.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/330cba1ef637d260c6d0aa733b272aa7908cd3f7.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/2d2c8e81037637a1abdc6f123d4e104e1db0f66c.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/489f9f749384a6c3d8139f5b5d559324c2aaa6a1.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/36ecd5b8bd0fa9b31d533c5e17d090dba4ccaa89.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/fc6ec32e77f03fc715abdc2bb3cdcdd9ba3a77ef.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/4563a9d3e17ea831784befda024ef6a2ce984a25.jpeg","Programme et description de la troupe de la tournée Ambreville pour le vaudeville J'ai trompé Gustave d'Alexandre Bisson et André Sylvane",,,,1918,Pièce,"12 pages. Impression encre noire. 20,2 x 14,4 cm.","https://www.nakala.fr/10.34847/nkl.b21ep231 10.34847/nkl.b21ep231",,,,,"Imprimerie-Lithographie : L' Agence de publicité théâtrale","Petites déchirures, signes d'usage et d'usure.",,,,,"1 EN 29",,,,,,,Brochure,"Description de la troupe | Programme théâtral"
34,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/34,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"439 | 440 | 441 | 442 | 443 | 444 | 445","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/d89973c1bce01183adbb72a6649fa8742eb7def8.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/21fceebd953265897866386b4398e260152e70c8.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/f79054aebb237ab894424a789d317b7d03b56aa8.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/d61bd783e23ec73e48cf2feb2c3a544bb0394061.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/92c19b63f71b2581ef2851daa55984b34cb288eb.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/3d21e395848e7180c1384538019d2d83658e71c1.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/95d6bdf2cead81fe8b4575896cf6e384c81b363b.jpeg","Programme de la tournée Ambreville pour le vaudeville J'ai trompé Gustave d'Alexandre Bisson et André Sylvane, et la comédie L'Oncle curé de Victorine Miller",,,,1919,Pièce,"12 pages. Impression encre noire. 21,6 x 12,7 cm.","https://www.nakala.fr/10.34847/nkl.9bcdiv02 10.34847/nkl.9bcdiv02",,,,,"Imprimerie : La Concurrence.","Petites déchirures, signes d'usage et d'usure.",,,,,"1 EN 30",,,,,,,Brochure,"Description de la troupe | Programme théâtral"
35,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/35,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,446,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/bad0fd4f0e0a736af9a7fb26406c1e509472f184.jpeg,"Tournée Ambreville : affiche de théâtre pour la comédie L'Oncle curé de Victorine Miller",,,,1919,Pièce,"Encre noire et couleur. Timbre oblitéré. 72,6 x 55 cm.","DOI : 10.34847/nkl.a7b52t6q
https://www.nakala.fr/10.34847/nkl.a7b52t6q",,,,,"Imprimerie : La Concurrence.","Petites déchirures, signes d'usage et d'usure.",,"MILLER, Victorine, L'Oncle Curé, Comédie, France Marchal-Ninosque (ed.), Besançon, PUFC, 2023, p. 11.",,,"1 EN 31",,,,,,,"Document figuré","Affiche dramatique"
36,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/36,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,447,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/da2e91a3caf6825bf9fe1ff7ffcb800f6a527942.jpeg,"Théâtre Palladium (Anvers) : affiche de théâtre de la tournée Nélès pour la comédie Le Mariage de Mlle Beulemans de Fernand Wicheler et Frantz Fonson",,,,1923,Pièce,"Encre noire et couleur. Timbre oblitéré. 86 x 60 cm.","https://www.nakala.fr/10.34847/nkl.b6b33704 10.34847/nkl.b6b33704",,,,,"Imprimerie : Jos. De Volder.","Petites déchirures, signes d'usage et d'usure.",,,,,"1 EN 32",,,,,,,"Document figuré","Affiche dramatique"
37,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/37,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,448,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/150551e80d6774370b0aecc82f3750ec92ac107c.jpeg,"Théâtre de l'Ilon (Namur) : affiche de théâtre de la tournée Nélès pour la comédie Le Million de Georges Beer et Marcel Guillemand",,,,1925,Pièce,"Impression couleur. Timbre oblitéré. 84 x 62 cm.","https://www.nakala.fr/10.34847/nkl.b6bbt890 10.34847/nkl.b6bbt890",,,,,"Imprimerie : non lisible.","Déchirures multiples, signes d'usage et d'usure.",,,,,"1 EN 33",,,,,,,"Document figuré","Affiche dramatique"
38,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/38,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,449,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/3874f980e5469404c6ad8d1cfc09903024c29909.jpeg,"Théâtre du Mess [Bruxelles] : affiche de théâtre de la tournée Nélès pour la comédie-vaudeville Médor d'Henri Malin",,,,1925,Pièce,"Impression encre noire. 72 x 55 cm.","https://www.nakala.fr/10.34847/nkl.cfa2l9hv 10.34847/nkl.cfa2l9hv",,,,,"Imprimeur : inconnu.","Petites déchirures, signes d'usage et d'usure.",,,,,"1 EN 34",,,,,,,"Document figuré","Affiche dramatique"
39,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/39,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,450,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/5c33ca82bfb9c308ed30071af195d3e555c3e7b0.jpeg,"Coupure de presse sur le rôle de Zootebeck interprété par Émile Nélès dans la comédie-vaudeville Médor d'Henri Malin",,,,[1925],Pièce,"Impression encre noire. 13,5 x 10 cm.","https://www.nakala.fr/10.34847/nkl.d685i13z 10.34847/nkl.d685i13z",,,,,"Journaliste : E. D.","Signes d'usage et d'usure.",,,,,"1 EN 35",,,,,,,"Coupure de presse",
40,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/40,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,451,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/dab6f92918917687a841001558dd2298e32dd171.jpeg,"Théâtre Le Palace (Liège) : affiche de théâtre de la tournée Nélès pour la comédie Le Mariage de Mlle Beulemans de Fernand Wicheler et Frantz Fonson",,,,1928,Pièce,"Impression couleur. Timbre oblitéré. 62 x 42 cm.","https://www.nakala.fr/10.34847/nkl.aeaa3r7w 10.34847/nkl.aeaa3r7w",,,,,"Imprimerie : Julien Waseigne et ses Fils.","Déchirures multiples, signes d'usage et d'usure et présence de papier adhésif.",,,,,"1 EN 36",,,,,,,"Document figuré","Affiche dramatique"
41,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/41,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,452,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/769d49850422708d32c02b894dffa7595edc92bf.jpeg,"Portrait dédicacé avec signature autographe de Léa de Réal",,,,"[entre 1920 et 1928]",Pièce,"Carte postale photographique en noir et blanc. 14 x 9 cm.","https://www.nakala.fr/10.34847/nkl.ac85p0s3 10.34847/nkl.ac85p0s3",,,,,"Photographe : inconnu.","Signes d'usage et d'usure.",,,,,"1 EN 37",,,,,"Réal, Léa de",,"Document figuré","Photographie d'artiste"
42,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/42,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,453,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/420245c235cedb124010e4aedf856fe2b7c73e46.jpeg,"Portrait de Mlle Flory",,,,1923,Pièce,"Carte postale photographique en noir et blanc. 14 x 9 cm.","https://www.nakala.fr/10.34847/nkl.b5e60dcr 10.34847/nkl.b5e60dcr",,,,,"Photographe : V. Van de Cruys.","Signes d'usage et d'usure.",,,,,"1 EN 38",,,,,"Flory (Mlle)",,"Document figuré","Photographie d'artiste"
43,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/43,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,454,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/9353e5b33a2f60cef035fc3f21ccf575feb92452.jpeg,"Portrait d'Émile Nélès (autour de 45 ans)",,,,"[entre 1920 et 1930]",Pièce,"Carte postale photographique en noir et blanc. 13,5 x 8,5 cm.","https://www.nakala.fr/10.34847/nkl.2ccax2cd 10.34847/nkl.2ccax2cd",,,,,"Photographe : S. Polat.","Signes d'usage et d'usure.",,,,,"1 EN 39",,,,,"Nélès, Émile (1876-1942)",,"Document figuré","Photographie d'artiste"
44,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/44,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,455,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/b9cff0881c1969e657716dbf784b0a4c183dd6bb.jpeg,"Portrait dédicacé avec signature autographe en date du 3 janvier 1923, d'un comédien non identifié",,"Photographie d'artiste",,1923,Pièce,"Carte postale photographique en noir et blanc. 14 x 9 cm.","https://www.nakala.fr/10.34847/nkl.35ae306s 10.34847/nkl.35ae306s",,,,,"Photographe : inconnu.","Signes d'usage et d'usure.",,,,,"1 EN 40",,,,,,,"Document figuré",
45,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/45,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,456,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/08ac5ad461f5e454164b6602ae71d19f92455a28.jpeg,"Théâtre de l'Ilon (Namur) : affiche de théâtre pour la comédie Le Mariage de Mlle Beulemans de Fernand Wicheler et Frantz Fonson",,,,1925,Pièce,"Impression couleur. 120 x 42,2 cm.","https://www.nakala.fr/10.34847/nkl.0931h8q8 10.34847/nkl.0931h8q8",,,,,"Imprimeur : La Rapide.","Déchirures multiples, signes d'usage et d'usure.",,,,,"1 EN 41",,,,,,,"Document figuré","Affiche dramatique"
46,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/46,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"457 | 458 | 459","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/30d17517df4b369e8aad1b56ed4f6c78013fa982.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/d783a5c705d3ed32f52b37cfd092e7325bd85c63.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/eb178d6393ada16baad33a5c92eec5f337e111ee.jpeg","51e numéro (6e année) de la revue hebdomadaire La Semaine Théâtrale, Artistique & Littéraire (Namur)",,,,"29 mars 1925",Pièce,"4 pages. Impression encre noir et blanc. 55 x 36 cm.","https://www.nakala.fr/10.34847/nkl.2d4cmv69 10.34847/nkl.2d4cmv69",,,,,"Imprimeur : inconnu.","Déchirures multiples, signes d'usage et d'usure.",,,,,"1 EN 42",,,,,,"La Semaine Théâtrale, Artistique et Littéraire",Périodique,
47,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/47,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,460,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/714504494d5f50947fc79abeff080d6639ea48de.jpeg,"Photographie dédicacée avec signature autographe en date du 15 mars 1925, de Marcelle [Chouret]",,,,1925,Pièce,"Carte postale photographique en noir et blanc. 14 x 9 cm.","https://www.nakala.fr/10.34847/nkl.d6f61akg 10.34847/nkl.d6f61akg",,,,,"Photographe : inconnu.","Lègers signes d'usage et d'usure.",,,,,"1 EN 43",,,,,"Chouret, Marcelle",,"Document figuré","Photographie d'artiste"
48,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/48,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,461,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/eb432fabdcc68202719c03e36f694c026cf14d0e.jpeg,"Photographie dédicacée avec signature autographe en date du 15 mars 1925, de Marcelle [Chouret] et de sa fille",,,,1925,Pièce,"Carte postale photographique en noir et blanc. 14 x 9 cm.","https://www.nakala.fr/10.34847/nkl.3e1f1g1w 10.34847/nkl.3e1f1g1w",,,,,"Photographe : inconnu.","Signes d'usage et d'usure.",,,,,"1 EN 44",,,,,"Chouret, Marcelle",,"Document figuré","Photographie d'artiste"
49,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/49,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,462,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/bb472b823cc51a31f2effd9efadb19124e46fd07.jpeg,"Portrait-dessin d'Émile Nélès",,,,"[années 1930]",Pièce,"Lithographie en couleur. 100 x 50 cm.","https://www.nakala.fr/10.34847/nkl.5d9fn002 10.34847/nkl.5d9fn002",,,,,"Dessinateur : Géo (Georges) De Vlamynck.","Signes d'usage et d'usure.",,,,,"1 EN 45",,,,,"Nélès, Émile (1876-1942)",,"Document figuré","Dessin d'artiste"
50,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/50,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,463,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/78aff72d62c8ba05a70e267b14d158388dbc4209.jpeg,"Photographie d'Émile Nélès (autour de 50 ans)",,,,"[années 1930]",Pièce,"Noir et blanc.","https://www.nakala.fr/10.34847/nkl.3f0f9l5f 10.34847/nkl.3f0f9l5f",,,,,"Photographe : inconnu.","Signes d'usage et d'usure.",,"MILLER, Victorine, L'Oncle Curé, Comédie, France Marchal-Ninosque (ed.), Besançon, PUFC, 2023, p. 9.",,,"1 EN 46",,,,,"Nélès, Émile (1876-1942)",,"Document figuré","Photographie d'artiste"
51,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/51,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,464,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/6c9ac9ec142c869aa59568e5c2d49614623e0710.jpeg,"Portrait dédicacé (à Marguerite Nélès, seconde épouse d'Émile Nélès) et signé de Fernand Gravey",,,,"[années 1930]",Pièce,"Photographie en noir et blanc. 14,2 x 10,2 cm.","https://www.nakala.fr/10.34847/nkl.db5858qp 10.34847/nkl.db5858qp",,,,,"Photographe : inconnu.","Signes d'usage et d'usure.",,,,,"1 EN 47",,,,,"Gravey, Fernand",,"Document figuré","Photographie d'artiste"
52,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/52,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,465,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/7f5fc3e5f9f132343e588ee1077590b0bac57469.jpeg,"Portrait dédicacé avec signature autographe en date du 16 septembre 1937 de Charles Mahieu",,,,1937,Pièce,"Carte postale photographique en noir et blanc. 14 x 9 cm.","https://www.nakala.fr/10.34847/nkl.b076uwo7 10.34847/nkl.b076uwo7",,,,,"Photographe : Verhassel.","Signes d'usage et d'usure.",,,,,"1 EN 48",,,,,"Mahieu, Charles",,"Document figuré","Photographie d'artiste"
53,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/53,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,466,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/e40f2988ba6b51e1960d59b434c16b92d30961d7.jpeg,"Recette de cuisine sur le homard à l'américaine donnée par le cuisinier de la famille royale belge",,,,"[années 1930]",Pièce,"Manuscrit. 1 page. 28 x 21,5 cm.","https://www.nakala.fr/10.34847/nkl.adf66z51 10.34847/nkl.adf66z51",,,,,,"Petites déchirures, signes d'usage et d'usure.",,,,,"1 EN 49",,,,,,,Autre,
54,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/54,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,467,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/fc15e9e5769e3c55af820cb79edd345aee7f8d30.jpeg,"Émile Nélès (autour de 55 ans)",,,,"[années 1940]",Pièce,"Carte postale photographique en noir et blanc. 13,5 x 9 cm.","https://www.nakala.fr/10.34847/nkl.11fdlgru 10.34847/nkl.11fdlgru",,,,,"Photographe : Ed. Drauwet.","Signes d'usage et d'usure.",,,,,"1 EN 50",,,,,"Nélès, Émile (1876-1942)",,"Document figuré","Photographie d'artiste"
55,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/55,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,468,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/8cdf9dd9979569c99cd015867ccd30e7edc99815.jpeg,"Émile Nélès (autour de 60 ans)",,,,"[années 1940]",Pièce,"Carte postale photographique en noir et blanc. 13,5 x 9 cm.","https://www.nakala.fr/10.34847/nkl.22c1hn58 10.34847/nkl.22c1hn58",,,,,,"Signes d'usage et d'usure.",,,,,"1 EN 51",,,,,"Nélès, Émile (1876-1942)",,"Document figuré","Photographie d'artiste"
56,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/56,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,469,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/3b65d553c335885165faab65c8e92eef41c0a7a1.jpeg,"Émile Nélès, sa femme Marguerite Nélès et Marcelle [Chouret] dans une station balnéaire belge",,,,"[années 1930]",Pièce,"Photographie en noir et blanc. 11 x 6,5 cm.","https://www.nakala.fr/10.34847/nkl.a5f20635 10.34847/nkl.a5f20635",,,,,"Photographe : inconnu.","Signes d'usage et d'usure.",,,,,"1 EN 52",,,,,"Nélès, Émile (1876-1942) | Nélès, Marguerite | Chouret, Marcelle",,"Document figuré",
57,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/57,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,470,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/1796cf847992ad7324f892fe089f2a9f21b2fd3f.jpeg,"Photographie de comédiens dont André Brulé et [Jules Berry]",,,,"[années 1930]",Pièce,"Carte postale photographique en noir et blanc. 14 x 9 cm.","https://www.nakala.fr/10.34847/nkl.b77c9dcx 10.34847/nkl.b77c9dcx",,,,,"Photographe : inconnu.","Signes d'usage et d'usure.",,,,,"1 EN 53",,,,,,,"Document figuré","Photographie d'artiste"
58,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/58,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,471,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/931d03da16c12e5cb3dbb259b326aa911ae73470.jpeg,"Photographie d'une pièce de théâtre, [possiblement Le Million de Georges Beer et Marcel Guillemand], avec Émile Nélès (debout de face) et peut-être Marcel Roels de profil à gauche",,,,"[après 1911]",Pièce,"Carte postale photographique en noir et blanc. 14 x 9 cm.","https://www.nakala.fr/10.34847/nkl.8c1675d7 10.34847/nkl.8c1675d7",,,,,"Photographe : inconnu.","Signes d'usage et d'usure.",,,,,"1 EN 54",,,,,"Nélès, Émile (1876-1942) | Roels, Marcel",,"Document figuré","Photographie d'artistes au plateau"
59,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/59,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,472,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/f62173c8e67663453ba40cb1cf73ec8a70393120.jpeg,"Photographie de comédiens non identifiés",,,,s.d.,Pièce,"Carte postale photographique en noir et blanc. 14 x 9 cm.","https://www.nakala.fr/10.34847/nkl.cd441oaz 10.34847/nkl.cd441oaz",,,,,"Photographe : inconnu.","Signes d'usage et d'usure.",,,,,"1 EN 55",,,,,,,"Document figuré","Photographie d'artistes au plateau"
60,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/60,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,,,"Fonds Émile Nélès","Nélès, Émile (1876-1942)",,"Éditrice scientifique : France Marchal-Ninosque (Professeure des universités, ELLIADD UR 4661, UMLP).
Traitement des archives : Thomas Dandin (Archiviste, ELLIADD UR 4661, UMLP).
Numérisation et prise de vue : Angélique Bonjour (Service audiovisuel, UFR S","1901-[années 1940]",Fonds,,,"Archives privées appartenant à Maryse et Pierre Hermann.",Français,"Pour toute réutilisation des facs-similés numériques, à titre commercial ou gracieux, le laboratoire ELLIADD souhaiterait être cité avec la mention suivante : « Document numérisé par ELLIADD (UR 4661), Université de Franche-Comté. »","Les documents ont été classés selon un ordre chronologique calqué sur les trois grandes phases de la carrière du comédien.",,,,"MILLER, Victorine, L'Oncle Curé, Comédie, France Marchal-Ninosque (ed.), Besançon, PUFC, 2023.","Centre de ressources littéraires et artistiques Jacques-Petit, Laboratoire ELLIADD (UR 4661).","Librement communicable. Consultable en ligne.",FR/UR4661/1EN,"Prêt pour numérisation.",,,,,,,
